resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
"Propeller, 600 CFM dan aksesoris","Propeller, 600 CFM dan aksesoris",Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"Propeller, 500 CFM dan aksesoris","Propeller, 500 CFM dan aksesoris",Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
Waterstop lebar 230 mm - 320 mm,Waterstop lebar 230 mm - 320 mm,Material,Water,m,0.0,0.0,0.0,0.0,0,IDR,0.0,1.05,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.4.1.1 HARGA SATUAN PEKERJAAN BETON
Waterstop lebar 200 mm,Waterstop lebar 200 mm,Material,Water,m,0.0,0.0,0.0,0.0,0,IDR,0.0,1.05,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.4.1.1 HARGA SATUAN PEKERJAAN BETON
Waterstop lebar 150 mm,Waterstop lebar 150 mm,Material,Water,m,0.0,0.0,0.0,0.0,0,IDR,0.0,1.05,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.4.1.1 HARGA SATUAN PEKERJAAN BETON
Kerikil (2cm/3cm),Kerikil (2cm/3cm),Material,General,m3,0.0,0.0,0.0,0.0,0,IDR,0.0,0.8,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.4.1.1 HARGA SATUAN PEKERJAAN BETON
ZINK BJLS 70 (Isolasi Luar Dalam),ZINK BJLS 70 (Isolasi Luar Dalam),Material,General,m2,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
ZINK BJLS 60 (Isolasi Luar Dalam),ZINK BJLS 60 (Isolasi Luar Dalam),Material,General,m2,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
ZINK BJLS 50 (Isolasi Luar Dalam),ZINK BJLS 50 (Isolasi Luar Dalam),Material,General,m2,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
ZINK BJLS 100 (Isolasi Luar),ZINK BJLS 100 (Isolasi Luar),Material,General,m2,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
ZINK BJLS 80 (Isolasi Luar),ZINK BJLS 80 (Isolasi Luar),Material,General,m2,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
ZINK BJLS 70 (Isolasi Luar),ZINK BJLS 70 (Isolasi Luar),Material,General,m2,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
ZINK BJLS 60 (Isolasi Luar),ZINK BJLS 60 (Isolasi Luar),Material,General,m2,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
ZINK BJLS 50 (Isolasi Luar),ZINK BJLS 50 (Isolasi Luar),Material,General,m2,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
ZINK BJLS 100 (Tanpa Isolasi),ZINK BJLS 100 (Tanpa Isolasi),Material,General,m2,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
ZINK BJLS 80 (Tanpa Isolasi),ZINK BJLS 80 (Tanpa Isolasi),Material,General,m2,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
ZINK BJLS 70 (Tanpa Isolasi),ZINK BJLS 70 (Tanpa Isolasi),Material,General,m2,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
ZINK BJLS 60 (Tanpa Isolasi),ZINK BJLS 60 (Tanpa Isolasi),Material,General,m2,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
ZINK BJLS 50 (Tanpa Isolasi),ZINK BJLS 50 (Tanpa Isolasi),Material,General,m2,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
850 x 400 mm dan aksesoris,850 x 400 mm dan aksesoris,Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
750 x 350 mm dan aksesoris,750 x 350 mm dan aksesoris,Material,General,Unit,0.0,0.0,0.0,0.0,0,IDR,0.0,1.1,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
Besi beton,Besi beton,Material,General,Kg,0.0,0.0,0.0,0.0,0,IDR,0.0,126.0,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.3.2.1 HARGA SATUAN PEKERJAAN PONDASI
"1-1/4"" ; (32 mm) aksesoris","1-1/4"" ; (32 mm) aksesoris",Material,General,m',0.0,0.0,0.0,0.0,0,IDR,0.0,1.5,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"1"" ; (25 mm) dan aksesoris","1"" ; (25 mm) dan aksesoris",Material,General,m',0.0,0.0,0.0,0.0,0,IDR,0.0,1.5,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"3/4"" ; (20 mm) dan aksesoris","3/4"" ; (20 mm) dan aksesoris",Material,General,m',0.0,0.0,0.0,0.0,0,IDR,0.0,1.5,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"1/2"" ; (15 mm) dan aksesoris","1/2"" ; (15 mm) dan aksesoris",Material,General,m',0.0,0.0,0.0,0.0,0,IDR,0.0,1.5,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"Dia. 41,3 mm (1- 5/8"") dan aksesoris","Dia. 41,3 mm (1- 5/8"") dan aksesoris",Material,General,m',0.0,0.0,0.0,0.0,0,IDR,0.0,1.5,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"Dia. 34,9 mm (1- 3/8"") dan aksesoris","Dia. 34,9 mm (1- 3/8"") dan aksesoris",Material,General,m',0.0,0.0,0.0,0.0,0,IDR,0.0,1.5,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"Dia. 28,6 mm (1- 1/8"") dan aksesoris","Dia. 28,6 mm (1- 1/8"") dan aksesoris",Material,General,m',0.0,0.0,0.0,0.0,0,IDR,0.0,1.5,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"Dia. 25,4 mm (1"") dan aksesoris","Dia. 25,4 mm (1"") dan aksesoris",Material,General,m',0.0,0.0,0.0,0.0,0,IDR,0.0,1.5,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"Dia. 22,2 mm (7/8"") dan aksesoris","Dia. 22,2 mm (7/8"") dan aksesoris",Material,General,m',0.0,0.0,0.0,0.0,0,IDR,0.0,1.5,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"Dia. 19,1 mm (3/4"") dan aksesoris","Dia. 19,1 mm (3/4"") dan aksesoris",Material,General,m',0.0,0.0,0.0,0.0,0,IDR,0.0,1.5,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"Dia. 15,9 mm (5/8"") dan aksesoris","Dia. 15,9 mm (5/8"") dan aksesoris",Material,General,m',0.0,0.0,0.0,0.0,0,IDR,0.0,1.5,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"Dia. 12,7 mm (1/2"") dan aksesoris","Dia. 12,7 mm (1/2"") dan aksesoris",Material,General,m',0.0,0.0,0.0,0.0,0,IDR,0.0,1.5,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"Dia. 9,5 mm (3/8"") dan aksesoris","Dia. 9,5 mm (3/8"") dan aksesoris",Material,General,m',0.0,0.0,0.0,0.0,0,IDR,0.0,1.5,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
"Dia. 6,4 mm (1/4"") dan aksesoris","Dia. 6,4 mm (1/4"") dan aksesoris",Material,General,m',0.0,0.0,0.0,0.0,0,IDR,0.0,1.5,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
ZINK BJLS 100 (Isolasi Luar Dalam),ZINK BJLS 100 (Isolasi Luar Dalam),Material,General,m2,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
ZINK BJLS 80 (Isolasi Luar Dalam),ZINK BJLS 80 (Isolasi Luar Dalam),Material,General,m2,0.0,0.0,0.0,0.0,0,IDR,0.0,1.2,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,5.5 PEKERJAAN SISTEM TATA UDARA
Kayu papan kelas III,Kayu papan kelas III,Material,General,m3,0.0,0.0,0.0,0.0,0,IDR,0.0,0.036,1,1,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.2.2.1 HARGA SATUAN PEKERJAAN PERSIAPAN
