resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
XT80520,COQUILLA ESPESOR 19x60 TEMP. 150º C,Material,General,m,64.4,64.4,64.4,64.4,1,MXN,65.04,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Canalizaciones
XT80510,COQUILLA ESPESOR 19x35 TEMP. 150º C,Material,General,m,41.42,41.42,41.42,41.42,1,MXN,41.84,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Canalizaciones
XT80500,COQUILLA ESPESOR 19x18 TEMP. 150º C,Material,General,m,24.6,24.6,24.6,24.6,1,MXN,24.85,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Canalizaciones
XT02200,COQUILLA FIB. VIDR. CON PAPEL KRAFF ALUM. DIÁM. 34 mm ESP. 40 mm,Material,General,m,165.88,165.88,165.88,165.88,1,MXN,167.54,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Canalizaciones
XT03700,COQUILLA FIBRA VIDRIO DIÁM. 27 mm ESPESOR 30 mm,Material,General,m,59.7,59.7,59.7,59.7,1,MXN,60.29,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Canalizaciones
IC12700,CALDERA FUNDICIÓN 100000 kcal/h CON CONTROLES C. FLUIDO,Material,General,u,69521.81,69521.81,69521.81,69521.81,1,MXN,69521.81,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Calderas
IC51300,"QUEMADOR GASÓLEO 36500-81500 kcal/h CON R=0,80, 8-0 mm.c.a.",Material,General,u,34623.88,34623.88,34623.88,34623.88,1,MXN,34623.88,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Calderas
IC12500,CALDERA FUNDICIÓN 60000 kcal/h CON CONTROLES C. FLUIDO,Material,General,u,52662.56,52662.56,52662.56,52662.56,1,MXN,52662.56,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Calderas
IC08900,BOMBA RECIRCULACIÓN 20000 l/h Y 11 m.c.a. AGUA CALIENTE,Material,General,u,16868.11,16868.11,16868.11,16868.11,1,MXN,16868.11,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Equipos auxiliares
IC08800,"BOMBA RECIRCULACIÓN 12000 l/h Y 8,0 m.c.a. AGUA CALIENTE",Material,General,u,13653.24,13653.24,13653.24,13653.24,1,MXN,13653.24,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Equipos auxiliares
